Hour,Energy_Sold,Energy_Purchased,Energy_Grid,Power_Charged,Power_ChargedWind,Cable Power,Power_Discharged,State_of_Charge,Char/Disch,power,price
1,0,0,0,0,0,0,0,0,1,0,18.975903
2,0,0,0,0,0,0,0,0,0,0,18.81283
3,0,0,0,0,0,0,0,0,0,0,18.587366
4,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,18.415584
5,0,0,0,0,0,0,0,1,0,0,18.584171
6,0,0,0,0,0,0,0,1,0,0,18.729351
7,0,0,0,0,0,0,0,1,0,0,19.322371
8,0,0,0,0,0,0,0,1,0,0,20.317504
9,0,0,0,0,0,0,0,1,0,0,21.040017
10,0,0,0,0,0,0,0,1,0,0,21.40746
11,0,0,0,0,0,0,0,1,0,0,22.475452
12,0,0,0,0,0,0,0,1,0,0,22.184297
13,0,0,0,0,0,0,0,1,0,0,22.204442
14,0,0,0,0,0,0,0,1,0,0,21.821191
15,0,0,0,0,0,0,0,1,0,0,21.666148
16,0,0,0,0,0,0,0,1,0,0,22.112124
17,0,0,0,0,0,0,0,1,0,0,23.868422
18,0,0,0,0,0,0,0,1,0,0,28.034539
19,0,0,0,0,0,0,0,1,0,0,27.81378
20,0,0,0,0,0,0,0,1,0,0,27.657444
21,0,0,0,0,0,0,0,1,0,0,27.077263
22,0,0,0,0,0,0,0,1,0,0,25.649738
23,0,0,0,0,0,0,0,1,0,0,23.681297
24,0,0,0,0,0,0,0,1,0,0,22.393402
25,0,0,0,0,0,0,0,1,0,0,22.638692
26,0,0,0,0,0,0,0,1,0,0,22.353091
27,0,0,0,0,0,0,0,1,0,0,22.386126
28,0,0,0,0,0,0,0,1,0,0,22.161664
29,0,0,0,0,0,0,0,1,0,0,22.462853
30,0,0,0,0,0,0,0,1,0,0,24.028264
31,0,0,0,0,0,0,0,1,0,0,29.60535
32,0,0,0,0,0,0,0,1,0,0,30.428958
33,0,0,0,0,0,0,0,1,0,0,30.901339
34,0,0,0,0,0,0,0,1,0,0,32.662497
35,0,0,0,0,0,0,0,1,0,0,31.603157
36,0,0,0,0,0,0,0,1,0,0,30.302718
37,0,0,0,0,0,0,0,1,0,0,29.128134
38,0,0,0,0,0,0,0,1,0,0,28.231628
39,0,0,0,0,0,0,0,1,0,0,27.353097
40,0,0,0,0,0,0,0,1,0,0,27.131128
41,0,0,0,0,0,0,0,1,0,0,30.237745
42,0.9,0,0.9,0,0,0,1,0,0,1,39.602881
43,0,0,0,0,0,0,0,0,0,0,34.207477
44,0,0,0,0,0,0,0,0,0,0,33.397771
45,0,0,0,0,0,0,0,0,0,0,30.539537
46,0,0,0,0,0,0,0,0,0,0,29.044097
47,0,0,0,0,0,0,0,0,0,0,26.155075
48,0,0,0,0,0,0,0,0,0,0,23.994026
49,0,0,0,0,0,0,0,0,0,0,21.919977
50,0,0,0,0,0,0,0,0,0,0,20.856262
51,0,0,0,0,0,0,0,0,0,0,20.841786
52,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,20.608413
53,0,0,0,0,0,0,0,1,0,0,21.100549
54,0,0,0,0,0,0,0,1,0,0,22.77536
55,0,0,0,0,0,0,0,1,0,0,26.930603
56,0,0,0,0,0,0,0,1,0,0,27.971216
57,0,0,0,0,0,0,0,1,0,0,27.571962
58,0,0,0,0,0,0,0,1,0,0,27.574659
