Hour,Energy_Sold,Energy_Purchased,Energy_Grid,Power_Charged,Power_ChargedWind,Cable Power,Power_Discharged,State_of_Charge,Char/Disch,power,price
4968,0,0,0,0,0,0,0,0,0,0,19.093242
4969,0,0,0,0,0,0,0,0,0,0,17.936761
4970,0,0,0,0,0,0,0,0,0,0,16.546283
4971,0,0,0,0,0,0,0,0,0,0,14.480664
4972,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,13.500707
4973,0,0,0,0,0,0,0,1,0,0,13.681124
4974,0,0,0,0,0,0,0,1,0,0,13.581899
4975,0,0,0,0,0,0,0,1,0,0,15.961424
4976,0,0,0,0,0,0,0,1,0,0,18.93925
4977,0,0,0,0,0,0,0,1,0,0,20.802594
4978,0,0,0,0,0,0,0,1,0,0,22.690698
4979,0,0,0,0,0,0,0,1,0,0,24.849998
4980,0,0,0,0,0,0,0,1,0,0,26.7985
4981,0,0,0,0,0,0,0,1,0,0,28.311519
4982,0,0,0,0,0,0,0,1,0,0,30.014751
4983,0,0,0,0,0,0,0,1,0,0,32.651879
4984,0.9,0,0.9,0,0,0,1,0,0,1,36.072315
4985,0,0,0,0,0,0,0,0,0,0,36.018041
4986,0,0,0,0,0,0,0,0,0,0,32.521083
4987,0,0,0,0,0,0,0,0,0,0,28.811136
4988,0,0,0,0,0,0,0,0,0,0,26.806621
4989,0,0,0,0,0,0,0,0,0,0,24.575632
4990,0,0,0,0,0,0,0,0,0,0,21.888122
4991,0,0,0,0,0,0,0,0,0,0,20.502149
4992,0,0,0,0,0,0,0,0,0,0,18.894339
4993,0,0,0,0,0,0,0,0,0,0,18.205395
4994,0,0,0,0,0,0,0,0,0,0,16.347642
4995,0,0,0,0,0,0,0,0,0,0,14.907131
4996,0,0,0,0,0,0,0,0,0,0,14.599004
4997,0,0,0,0,0,0,0,0,0,0,13.879093
4998,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,13.156815
4999,0,0,0,0,0,0,0,1,0,0,14.935584
5000,0,0,0,0,0,0,0,1,0,0,18.802173
5001,0,0,0,0,0,0,0,1,0,0,21.0025
5002,0,0,0,0,0,0,0,1,0,0,23.463493
5003,0,0,0,0,0,0,0,1,0,0,26.20665
5004,0,0,0,0,0,0,0,1,0,0,27.96642
5005,0,0,0,0,0,0,0,1,0,0,30.178643
5006,0,0,0,0,0,0,0,1,0,0,33.262279
5007,0,0,0,0,0,0,0,1,0,0,37.302409
5008,0,0,0,0,0,0,0,1,0,0,41.93707
5009,0.9,0,0.9,0,0,0,1,0,0,1,44.034429
5010,0,0,0,0,0,0,0,0,0,0,39.004224
5011,0,0,0,0,0,0,0,0,0,0,33.23169
5012,0,0,0,0,0,0,0,0,0,0,32.342822
5013,0,0,0,0,0,0,0,0,0,0,28.757496
5014,0,0,0,0,0,0,0,0,0,0,24.064467
5015,0,0,0,0,0,0,0,0,0,0,22.137318
5016,0,0,0,0,0,0,0,0,0,0,20.189115
5017,0,0,0,0,0,0,0,0,0,0,19.086911
5018,0,0,0,0,0,0,0,0,0,0,17.790215
5019,0,0,0,0,0,0,0,0,0,0,16.153659
5020,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,15.523321
5021,0,0,0,0,0,0,0,1,0,0,17.952315
5022,0,0,0,0,0,0,0,1,0,0,19.333459
5023,0,0,0,0,0,0,0,1,0,0,20.441908
5024,0,0,0,0,0,0,0,1,0,0,22.391888
5025,0,0,0,0,0,0,0,1,0,0,25.263732
5026,0,0,0,0,0,0,0,1,0,0,29.484786
5027,0,0,0,0,0,0,0,1,0,0,33.588141
5028,0,0,0,0,0,0,0,1,0,0,37.403293
5029,0,0,0,0,0,0,0,1,0,0,39.197559
5030,0,0,0,0,0,0,0,1,0,0,45.654551
5031,0,0,0,0,0,0,0,1,0,0,51.359275
5032,0.9,0,0.9,0,0,0,1,0,0,1,56.532232
5033,0,0,0,0,0,0,0,0,0,0,55.69557
5034,0,0,0,0,0,0,0,0,0,0,45.970033
5035,0,0,0,0,0,0,0,0,0,0,38.796007
5036,0,0,0,0,0,0,0,0,0,0,35.825028
5037,0,0,0,0,0,0,0,0,0,0,30.850542
5038,0,0,0,0,0,0,0,0,0,0,25.852541
5039,0,0,0,0,0,0,0,0,0,0,22.896427
5040,0,0,0,0,0,0,0,0,0,0,21.267981
5041,0,0,0,0,0,0,0,0,0,0,19.756524
5042,0,0,0,0,0,0,0,0,0,0,18.817541
5043,0,0,0,0,0,0,0,0,0,0,18.147774
5044,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,18.095459
5045,0,0,0,0,0,0,0,1,0,0,18.944263
5046,0,0,0,0,0,0,0,1,0,0,19.923207
5047,0,0,0,0,0,0,0,1,0,0,21.483084
5048,0,0,0,0,0,0,0,1,0,0,23.232953
5049,0,0,0,0,0,0,0,1,0,0,26.21188
5050,0,0,0,0,0,0,0,1,0,0,29.943104
5051,0,0,0,0,0,0,0,1,0,0,33.650661
5052,0,0,0,0,0,0,0,1,0,0,35.918141
5053,0,0,0,0,0,0,0,1,0,0,39.617171
5054,0,0,0,0,0,0,0,1,0,0,44.38083
5055,0,0,0,0,0,0,0,1,0,0,45.626858
5056,0.9,0,0.9,0,0,0,1,0,0,1,48.764545
5057,0,0,0,0,0,0,0,0,0,0,46.038724
5058,0,0,0,0,0,0,0,0,0,0,39.272037
5059,0,0,0,0,0,0,0,0,0,0,33.323991
5060,0,0,0,0,0,0,0,0,0,0,31.742738
5061,0,0,0,0,0,0,0,0,0,0,28.177733
5062,0,0,0,0,0,0,0,0,0,0,24.344553
5063,0,0,0,0,0,0,0,0,0,0,21.388619
5064,0,0,0,0,0,0,0,0,0,0,20.708123
5065,0,0,0,0,0,0,0,0,0,0,19.333784
5066,0,0,0,0,0,0,0,0,0,0,17.954679
5067,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,16.940807
5068,0,0,0,0,0,0,0,1,0,0,16.969061
5069,0,0,0,0,0,0,0,1,0,0,18.274256
5070,0,0,0,0,0,0,0,1,0,0,19.025564
5071,0,0,0,0,0,0,0,1,0,0,19.7272
5072,0,0,0,0,0,0,0,1,0,0,21.257629
5073,0,0,0,0,0,0,0,1,0,0,23.725196
5074,0,0,0,0,0,0,0,1,0,0,27.266273
5075,0,0,0,0,0,0,0,1,0,0,31.403036
5076,0,0,0,0,0,0,0,1,0,0,30.833349
5077,0,0,0,0,0,0,0,1,0,0,33.752905
5078,0,0,0,0,0,0,0,1,0,0,35.431736
5079,0,0,0,0,0,0,0,1,0,0,36.967332
5080,0.9,0,0.9,0,0,0,1,0,0,1,38.866711
5081,0,0,0,0,0,0,0,0,0,0,36.270394
5082,0,0,0,0,0,0,0,0,0,0,31.066948
5083,0,0,0,0,0,0,0,0,0,0,28.472606
5084,0,0,0,0,0,0,0,0,0,0,26.758056
5085,0,0,0,0,0,0,0,0,0,0,24.224052
5086,0,0,0,0,0,0,0,0,0,0,21.953257
5087,0,0,0,0,0,0,0,0,0,0,20.391846
5088,0,0,0,0,0,0,0,0,0,0,19.543157
5089,0,0,0,0,0,0,0,0,0,0,18.658024
5090,0,0,0,0,0,0,0,0,0,0,17.563818
5091,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,16.525771
5092,0,0,0,0,0,0,0,1,0,0,16.905052
5093,0,0,0,0,0,0,0,1,0,0,18.707462
5094,0,0,0,0,0,0,0,1,0,0,19.719656
5095,0,0,0,0,0,0,0,1,0,0,21.134558
5096,0,0,0,0,0,0,0,1,0,0,21.968197
5097,0,0,0,0,0,0,0,1,0,0,23.880797
5098,0,0,0,0,0,0,0,1,0,0,28.077868
5099,0,0,0,0,0,0,0,1,0,0,32.837715
5100,0,0,0,0,0,0,0,1,0,0,33.233965
5101,0,0,0,0,0,0,0,1,0,0,35.961875
5102,0,0,0,0,0,0,0,1,0,0,39.413487
5103,0,0,0,0,0,0,0,1,0,0,40.857115
5104,0.9,0,0.9,0,0,0,1,0,0,1,45.700622
5105,0,0,0,0,0,0,0,0,0,0,44.426897
5106,0,0,0,0,0,0,0,0,0,0,36.979316
5107,0,0,0,0,0,0,0,0,0,0,33.613777
5108,0,0,0,0,0,0,0,0,0,0,31.859888
5109,0,0,0,0,0,0,0,0,0,0,28.509389
5110,0,0,0,0,0,0,0,0,0,0,23.846601
5111,0,0,0,0,0,0,0,0,0,0,21.449754
5112,0,0,0,0,0,0,0,0,0,0,19.514351
5113,0,0,0,0,0,0,0,0,0,0,18.396437
5114,0,0,0,0,0,0,0,0,0,0,17.553061
5115,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,16.171317
5116,0,0,0,0,0,0,0,1,0,0,16.846654
5117,0,0,0,0,0,0,0,1,0,0,18.288772
5118,0,0,0,0,0,0,0,1,0,0,19.555462
5119,0,0,0,0,0,0,0,1,0,0,20.802459
5120,0,0,0,0,0,0,0,1,0,0,21.646101
5121,0,0,0,0,0,0,0,1,0,0,23.943129
5122,0,0,0,0,0,0,0,1,0,0,28.236556
5123,0,0,0,0,0,0,0,1,0,0,31.969263
5124,0,0,0,0,0,0,0,1,0,0,32.791895
5125,0,0,0,0,0,0,0,1,0,0,33.913034
5126,0,0,0,0,0,0,0,1,0,0,35.672797
5127,0,0,0,0,0,0,0,1,0,0,39.49422
5128,0.9,0,0.9,0,0,0,1,0,0,1,40.327067
5129,0,0,0,0,0,0,0,0,0,0,37.801579
5130,0,0,0,0,0,0,0,0,0,0,33.2847
5131,0,0,0,0,0,0,0,0,0,0,30.454502
5132,0,0,0,0,0,0,0,0,0,0,28.422996
5133,0,0,0,0,0,0,0,0,0,0,26.399898
5134,0,0,0,0,0,0,0,0,0,0,22.383513
5135,0,0,0,0,0,0,0,0,0,0,20.336698
5136,0,0,0,0,0,0,0,0,0,0,19.37483
5137,0,0,0,0,0,0,0,0,0,0,18.941032
5138,0,0,0,0,0,0,0,0,0,0,17.949119
5139,0,0,0,0,0,0,0,0,0,0,17.60948
5140,0,1.111111111,-1.111111111,1,0,0,0,1,1,-1,17.236861
5141,0,0,0,0,0,0,0,1,0,0,17.628046
5142,0,0,0,0,0,0,0,1,0,0,18.015709
5143,0,0,0,0,0,0,0,1,0,0,18.450604
5144,0,0,0,0,0,0,0,1,0,0,19.699815
5145,0,0,0,0,0,0,0,1,0,0,21.468439
5146,0,0,0,0,0,0,0,1,0,0,23.090405
5147,0,0,0,0,0,0,0,1,0,0,26.075466
5148,0,0,0,0,0,0,0,1,0,0,28.40652
5149,0,0,0,0,0,0,0,1,0,0,29.283841
5150,0,0,0,0,0,0,0,1,0,0,30.893379
5151,0,0,0,0,0,0,0,1,0,0,32.314381
5152,0,0,0,0,0,0,0,1,0,0,36.010639
5153,0.9,0,0.9,0,0,0,1,0,0,1,36.853631
5154,0,0,0,0,0,0,0,0,0,0,32.062738
5155,0,0,0,0,0,0,0,0,0,0,29.401824
5156,0,0,0,0,0,0,0,0,0,0,28.501987
5157,0,0,0,0,0,0,0,0,0,0,26.055773
5158,0,0,0,0,0,0,0,0,0,0,22.522694
5159,0,0,0,0,0,0,0,0,0,0,20.321345
5160,0,0,0,0,0,0,0,0,0,0,19.515055
5161,0,0,0,0,0,0,0,0,0,0,18.145666
