Hour,price,Power MILP degradation,Profit MILP degradation,SoC,SOCmax MILP Degradation,,"Power MILP, No degradation",Profit MILP No degradation,SoC,"SOCmax MILP, No degradation",Power MILP no degradation const efficiency,Profit MILP No degradation roundtrip eff,SoC,"SOCmax MILP no degradation, roundtrip",power degradation workoff,Profit degradation workoff,SOCmax degradation workoff
4872,42.16,0,0,0,0.99008482,1,0,0,0,0.986096511,0,0,0,0,0,0,0.978628186
4873,41.27,0,0,0,0.990083107,0.999998288,0,0,0,0.986094799,0,0,0,0.976980234,0,0,0.978626474
4874,41.02,0,0,0,0.990081395,0.999996575,0,0,0,0.986093086,0,0,0,0.976978521,0,0,0.978624762
4875,30.71,0,0,0,0.990079683,0.999994863,0,0,0,0.986091374,0,0,0,0.976976809,0,0,0.978623049
4876,41.23,-0.98,-40.4054,0.98,0.990018235,0.999933415,-0.98,-40.4054,0.98,0.986029929,-1,-41.23,1,0.976908265,0,0,0.978621337
4877,42.49,0,-40.4054,0.98,0.990016523,0.999931703,0,-40.4054,0.98,0.986028217,0,-41.23,1,0.976906552,0,0,0.978619625
4878,45.13,0,-40.4054,0.98,0.99001481,0.999929991,0,-40.4054,0.98,0.986026505,0,-41.23,1,0.97690484,0,0,0.978617912
4879,47.23,0,-40.4054,0.98,0.990013098,0.999928278,0,-40.4054,0.98,0.986024792,0,-41.23,1,0.976903128,-0.45,-21.2535,0.978604319
4880,53.45,0,-40.4054,0.98,0.990011386,0.999926566,0,-40.4054,0.98,0.98602308,0,-41.23,1,0.976901415,-0.45,-45.306,0.978590726
4881,69.57,0,-40.4054,0.98,0.990009673,0.999924854,0,-40.4054,0.98,0.986021368,0,-41.23,1,0.976899703,-0.078590726,-50.7735568,0.978589487
4882,82.94,0,-40.4054,0.98,0.990007961,0.999923141,0,-40.4054,0.98,0.986019655,0,-41.23,1,0.976897991,1.24E-06,-50.77345408,0.978589487
4883,124.37,0,-40.4054,0.98,0.990006249,0.999921429,0,-40.4054,0.98,0.986017943,0,-41.23,1,0.976896278,0,-50.77345408,0.978587775
4884,135.45,0,-40.4054,0.98,0.990004536,0.999919717,0,-40.4054,0.98,0.986016231,0,-41.23,1,0.976894566,0,-50.77345408,0.978586063
4885,150.78,0,-40.4054,0.98,0.990002824,0.999918004,0,-40.4054,0.98,0.986014518,0,-41.23,1,0.976892854,3.42E-06,-50.77293771,0.978586063
4886,150.83,0,-40.4054,0.98,0.990001112,0.999916292,0,-40.4054,0.98,0.986012806,0,-41.23,1,0.976891141,0.45,17.10056229,0.978586063
4887,159.71,0.144,-17.40716,0.836,0.990001112,0.999916292,0.144,-17.40716,0.836,0.986012806,0,-41.23,1,0.976889429,0,17.10056229,0.97858435
4888,150.8,0.836,108.66164,0,0.990001112,0.999916292,0.836,108.66164,0,0.986012806,1,109.57,0,0.976889429,0,17.10056229,0.978582638
4889,126.05,0,108.66164,0,0.989999399,0.99991458,0,108.66164,0,0.986011094,0,109.57,0,0.976887717,0.528586063,83.7288355,0.978582638
4890,115.52,0,108.66164,0,0.989997687,0.999912867,0,108.66164,0,0.986009381,0,109.57,0,0.976886004,0,83.7288355,0.978580926
4891,115.48,0,108.66164,0,0.989995975,0.999911155,0,108.66164,0,0.986007669,0,109.57,0,0.976884292,0,83.7288355,0.978579213
4892,86.18,0,108.66164,0,0.989994262,0.999909443,0,108.66164,0,0.986005957,0,109.57,0,0.97688258,0,83.7288355,0.978577501
4893,51.95,0,108.66164,0,0.98999255,0.99990773,0,108.66164,0,0.986004244,0,109.57,0,0.976880867,0,83.7288355,0.978575789
4894,46.24,0,108.66164,0,0.989990838,0.999906018,0,108.66164,0,0.986002532,0,109.57,0,0.976879155,0,83.7288355,0.978574076
4895,42.48,0,108.66164,0,0.989989125,0.999904306,0,108.66164,0,0.98600082,0,109.57,0,0.976877443,0,83.7288355,0.978572364
4896,41.14,0,108.66164,0,0.989987413,0.999902593,0,108.66164,0,0.985999107,0,109.57,0,0.97687573,0,83.7288355,0.978570652
4897,40.13,0,108.66164,0,0.989985701,0.999900881,0,108.66164,0,0.985997395,0,109.57,0,0.976874018,0,83.7288355,0.978568939
4898,39.48,0,108.66164,0,0.989983988,0.999899169,0,108.66164,0,0.985995683,0,109.57,0,0.976872306,0,83.7288355,0.978567227
4899,30.85,0,108.66164,0,0.989982276,0.999897456,0,108.66164,0,0.98599397,0,109.57,0,0.976870593,0,83.7288355,0.978565515
4900,38.94,-0.98,70.50044,0.98,0.989918513,0.999833693,-0.98,70.50044,0.98,0.985930207,-1,70.63,1,0.97680206,0,83.7288355,0.978563802
4901,41.53,0,70.50044,0.98,0.989916801,0.999831981,0,70.50044,0.98,0.985928495,0,70.63,1,0.976800347,0,83.7288355,0.97856209
4902,43.7,0,70.50044,0.98,0.989915088,0.999830269,0,70.50044,0.98,0.985926783,0,70.63,1,0.976798635,0,83.7288355,0.978560378
4903,44.97,0,70.50044,0.98,0.989913376,0.999828556,0,70.50044,0.98,0.98592507,0,70.63,1,0.976796923,-0.45,63.4923355,0.978546785
4904,49.66,0,70.50044,0.98,0.989911664,0.999826844,0,70.50044,0.98,0.985923358,0,70.63,1,0.97679521,-0.45,41.1453355,0.978533191
4905,65.33,0,70.50044,0.98,0.989909951,0.999825132,0,70.50044,0.98,0.985921646,0,70.63,1,0.976793498,-0.078533191,36.0147621,0.978531954
4906,84.65,0,70.50044,0.98,0.989908239,0.999823419,0,70.50044,0.98,0.985919933,0,70.63,1,0.976791786,1.24E-06,36.01486686,0.978531954
4907,116.76,0,70.50044,0.98,0.989906527,0.999821707,0,70.50044,0.98,0.985918221,0,70.63,1,0.976790073,0,36.01486686,0.978530242
4908,132.38,0,70.50044,0.98,0.989904814,0.999819995,0,70.50044,0.98,0.985916509,0,70.63,1,0.976788361,0,36.01486686,0.978528529
4909,149.61,0,70.50044,0.98,0.989903102,0.999818282,0,70.50044,0.98,0.985914796,0,70.63,1,0.976786649,0,36.01486686,0.978526817
4910,158.45,0,70.50044,0.98,0.98990139,0.99981657,0,70.50044,0.98,0.985913084,0,70.63,1,0.976784936,0,36.01486686,0.978525105
4911,172.95,0,70.50044,0.98,0.989899677,0.999814858,0,70.50044,0.98,0.985911372,0,70.63,1,0.976783224,0.9,191.6698669,0.978525105
4912,158.54,0.89,211.60104,0.09,0.989899677,0.999814858,0.98,225.86964,0,0.985911372,1,229.17,0,0.976783224,0.078531954,204.1203228,0.978525105
4913,132.04,0,211.60104,0.09,0.989897965,0.999813145,0,225.86964,0,0.985909659,0,229.17,0,0.976781512,0,204.1203228,0.978523392
4914,114.68,0,211.60104,0.09,0.989896253,0.999811433,0,225.86964,0,0.985907947,0,229.17,0,0.976779799,0,204.1203228,0.97852168
4915,84.42,0,211.60104,0.09,0.98989454,0.999809721,0,225.86964,0,0.985906235,0,229.17,0,0.976778087,0,204.1203228,0.978519968
4916,74.94,0,211.60104,0.09,0.989892828,0.999808008,0,225.86964,0,0.985904522,0,229.17,0,0.976776375,0,204.1203228,0.978518255
4917,48.18,0,211.60104,0.09,0.989891116,0.999806296,0,225.86964,0,0.98590281,0,229.17,0,0.976774662,0,204.1203228,0.978516543
4918,43.26,0,211.60104,0.09,0.989889403,0.999804584,0,225.86964,0,0.985901098,0,229.17,0,0.97677295,0,204.1203228,0.978514831
4919,41.88,0,211.60104,0.09,0.989887691,0.999802871,0,225.86964,0,0.985899385,0,229.17,0,0.976771238,0,204.1203228,0.978513118
4920,31.31,0,211.60104,0.09,0.989885979,0.999801159,0,225.86964,0,0.985897673,0,229.17,0,0.976769525,-0.9,175.9413228,0.978415273
4921,28.21,0,211.60104,0.09,0.989884266,0.999799447,0,225.86964,0,0.985895961,0,229.17,0,0.976767813,0,175.9413228,0.978413561
4922,26.43,0,211.60104,0.09,0.989882554,0.999797734,0,225.86964,0,0.985894248,0,229.17,0,0.976766101,0,175.9413228,0.978411849
4923,25.91,0,211.60104,0.09,0.989880842,0.999796022,-0.38,216.02384,0.38,0.985884801,0,229.17,0,0.976764388,0,175.9413228,0.978410136
4924,29.5,0,211.60104,0.09,0.989879129,0.99979431,-0.6,198.32384,0.98,0.985872655,-1,199.67,1,0.976695854,0,175.9413228,0.978408424
4925,35.87,0,211.60104,0.09,0.989877417,0.999792597,0,198.32384,0.98,0.985870942,0,199.67,1,0.976694142,0,175.9413228,0.978406712
4926,42.57,0,211.60104,0.09,0.989875705,0.999790885,0,198.32384,0.98,0.98586923,0,199.67,1,0.97669243,0,175.9413228,0.978404999
4927,43.6,0,211.60104,0.09,0.989873992,0.999789173,0,198.32384,0.98,0.985867518,0,199.67,1,0.976690717,0,175.9413228,0.978403287
4928,45.1,0,211.60104,0.09,0.98987228,0.99978746,0,198.32384,0.98,0.985865805,0,199.67,1,0.976689005,0,175.9413228,0.978401575
4929,45.37,0,211.60104,0.09,0.989870568,0.999785748,0,198.32384,0.98,0.985864093,0,199.67,1,0.976687293,0,175.9413228,0.978399862
4930,47.94,0,211.60104,0.09,0.989868855,0.999784036,0,198.32384,0.98,0.985862381,0,199.67,1,0.97668558,0,175.9413228,0.97839815
4931,52.11,0,211.60104,0.09,0.989867143,0.999782324,0,198.32384,0.98,0.985860668,0,199.67,1,0.976683868,0,175.9413228,0.978396438
4932,55.37,0,211.60104,0.09,0.989865431,0.999780611,0,198.32384,0.98,0.985858956,0,199.67,1,0.976682156,0,175.9413228,0.978394725
4933,59.45,0,211.60104,0.09,0.989863718,0.999778899,0,198.32384,0.98,0.985857244,0,199.67,1,0.976680443,0,175.9413228,0.978393013
4934,64.16,0,211.60104,0.09,0.989862006,0.999777187,0,198.32384,0.98,0.985855531,0,199.67,1,0.976678731,0,175.9413228,0.978391301
4935,65.81,0,211.60104,0.09,0.989860294,0.999775474,0.2,211.48584,0.78,0.985855531,0,199.67,1,0.976677019,0,175.9413228,0.978389588
4936,61.3,0,211.60104,0.09,0.989858581,0.999773762,0.78,259.29984,0,0.985855531,1,260.97,0,0.976677019,0,175.9413228,0.978387876
4937,53.35,0,211.60104,0.09,0.989856869,0.99977205,0,259.29984,0,0.985853819,0,260.97,0,0.976675306,0.9,223.9563228,0.978387876
4938,49.48,0,211.60104,0.09,0.989855157,0.999770337,0,259.29984,0,0.985852107,0,260.97,0,0.976673594,0,223.9563228,0.978386164
4939,51.21,0,211.60104,0.09,0.989853444,0.999768625,0,259.29984,0,0.985850394,0,260.97,0,0.976671882,0,223.9563228,0.978384451
4940,47.67,0,211.60104,0.09,0.989851732,0.999766913,0,259.29984,0,0.985848682,0,260.97,0,0.976670169,0,223.9563228,0.978382739
4941,45.59,0,211.60104,0.09,0.98985002,0.9997652,0,259.29984,0,0.98584697,0,260.97,0,0.976668457,0,223.9563228,0.978381027
4942,42.7,0,211.60104,0.09,0.989848307,0.999763488,0,259.29984,0,0.985845257,0,260.97,0,0.976666745,0,223.9563228,0.978379314
