Hour,price,Power MILP degradation,Profit MILP degradation,SoC,SOCmax MILP Degradation,,"Power MILP, No degradation",Profit MILP No degradation,SoC,"SOCmax MILP, No degradation",Power MILP no degradation const efficiency,Profit MILP No degradation roundtrip eff,SoC,"SOCmax MILP no degradation, roundtrip",power degradation workoff,Profit degradation workoff,SOCmax degradation workoff
529,97.09,0,0,0,0.998966502,,0.6,58.254,0,0.998486847,1,97.09,0,0.997456709,1.57E-06,0.000152659,0
530,90.27,0,0,0,0.998964789,,0,58.254,0,0.998485135,0,97.09,0,0.997454997,0,0.000152659,0.997212268
531,88.56,0,0,0,0.998963077,,0,58.254,0,0.998483423,0,97.09,0,0.997453285,1.71E-06,0.000304303,0.997212268
532,89.76,0,0,0,0.998961365,,-0.4,22.35,0.4,0.998473113,-1,7.33,1,0.99738474,0,0.000304303,0.997210556
533,103.7,0,0,0,0.998959652,,-0.19,2.647,0.59,0.998471408,0,7.33,1,0.997383028,1.71E-06,0.000481872,0.997210556
534,148.96,0,0,0,0.99895794,,0,2.647,0.59,0.998469696,0,7.33,1,0.997381316,0,0.000481872,0.997208843
535,168.57,0,0,0,0.998956228,,0,2.647,0.59,0.998467983,0,7.33,1,0.997379603,0,0.000481872,0.997207131
536,169.33,0,0,0,0.998954515,,0,2.647,0.59,0.998466271,0,7.33,1,0.997377891,0,0.000481872,0.997205419
537,158.45,0,0,0,0.998952803,,0.1672,29.13984,0.4228,0.998466271,0,7.33,1,0.997376179,0,0.000481872,0.997203707
538,158.24,0,0,0,0.998951091,,0,29.13984,0.4228,0.998464559,0,7.33,1,0.997374466,0,0.000481872,0.997201994
539,150.65,0,0,0,0.998949378,,0,29.13984,0.4228,0.998462846,0,7.33,1,0.997372754,0,0.000481872,0.997200282
540,153.48,0,0,0,0.998947666,,0,29.13984,0.4228,0.998461134,0,7.33,1,0.997371042,0,0.000481872,0.99719857
541,143.77,0,0,0,0.998945954,,0,29.13984,0.4228,0.998459422,0,7.33,1,0.997369329,0,0.000481872,0.997196857
542,148.45,0,0,0,0.998944241,,-0.1672,4.319,0.59,0.998457015,0,7.33,1,0.997367617,1.37E-05,0.002515433,0.997196857
543,145.17,0,0,0,0.998942529,,0,4.319,0.59,0.998455303,0,7.33,1,0.997365905,0,0.002515433,0.997195145
544,167.42,0,0,0,0.998940817,,0,4.319,0.59,0.99845359,0,7.33,1,0.997364192,0,0.002515433,0.997193433
545,213.47,0,0,0,0.998939104,,0,4.319,0.59,0.998451878,0,7.33,1,0.99736248,0,0.002515433,0.99719172
546,191.69,0.98,187.8562,-0.98,0.998939104,,0.98,192.1752,-0.39,0.998451878,1,199.02,0,0.99736248,0.9,172.5235154,0.99719172
547,183.1,0,187.8562,-0.98,0.998937392,,0,192.1752,-0.39,0.998450166,0,199.02,0,0.997360768,0.097196857,190.32026,0.99719172
548,170.78,0,187.8562,-0.98,0.99893568,,0,192.1752,-0.39,0.998448453,0,199.02,0,0.997359055,0,190.32026,0.997190008
549,148.91,0,187.8562,-0.98,0.998933967,,0,192.1752,-0.39,0.998446741,0,199.02,0,0.997357343,0,190.32026,0.997188296
550,129.7,0,187.8562,-0.98,0.998932255,,0,192.1752,-0.39,0.998445029,0,199.02,0,0.997355631,0,190.32026,0.997186583
551,100.19,0,187.8562,-0.98,0.998930543,,0,192.1752,-0.39,0.998443317,0,199.02,0,0.997353918,-0.9,100.14926,0.997088738
552,147.82,-0.98,42.9926,0,0.998869112,,-0.99,45.8334,0.6,0.998381863,-1,51.2,1,0.997285382,-0.097088738,85.79760269,0.997087168
553,132.49,0,42.9926,0,0.998867399,,0.02,48.4832,0.58,0.998381863,0,51.2,1,0.99728367,1.57E-06,85.79781071,0.997087168
554,127.12,0,42.9926,0,0.998865687,,0,48.4832,0.58,0.99838015,0,51.2,1,0.997281958,0,85.79781071,0.997085456
555,126.62,0,42.9926,0,0.998863975,,0,48.4832,0.58,0.998378438,0,51.2,1,0.997280245,1.71E-06,85.79802752,0.997085456
556,133.51,0,42.9926,0,0.998862262,,-0.01,47.1481,0.59,0.9983783,0,51.2,1,0.997278533,0,85.79802752,0.997083744
557,159.42,0,42.9926,0,0.99886055,,0,47.1481,0.59,0.998376587,0,51.2,1,0.997276821,1.71E-06,85.7983005,0.997083744
558,208.43,0,42.9926,0,0.998858838,,0,47.1481,0.59,0.998374875,0,51.2,1,0.997275108,0,85.7983005,0.997082031
559,229.41,0,42.9926,0,0.998857125,,0,47.1481,0.59,0.998373163,0,51.2,1,0.997273396,0,85.7983005,0.997080319
560,223.74,0,42.9926,0,0.998855413,,0,47.1481,0.59,0.99837145,0,51.2,1,0.997271684,0,85.7983005,0.997078607
561,245.08,0,42.9926,0,0.998853701,,0,47.1481,0.59,0.998369738,0,51.2,1,0.997269971,0,85.7983005,0.997076894
