Time_index,LONGIL_DAZonal_Hourly_USD_per_MWh
1,42.33
2,36.74
3,35.25
4,34.08
5,33.39
6,33.09
7,35.59
8,39.43
9,44.07
10,46.69
11,47.67
12,47.32
13,46.13
14,43.92
15,42.58
16,43.08
17,55.69
18,74.69
19,71.34
20,61.32
21,57.75
22,48.44
23,46.31
24,45.47
25,43.87
26,37.84
27,34.97
28,33.89
29,32.2
30,32.13
31,36.97
32,36.39
33,42.05
34,44.37
35,46.68
36,46.24
37,42.75
38,41.44
39,40.56
40,44.41
41,59.77
42,80.16
43,72.61
44,64.74
45,62.59
46,57.38
47,45.76
48,46.46
49,40.07
50,38.95
51,37.15
52,37.95
53,35.86
54,39.85
55,55.8
56,57.04
57,52.84
58,59.86
59,60.47
60,56.88
61,51.93
62,52.4
63,48.83
64,49.03
65,72.15
66,99.45
67,83.52
68,77.82
69,70.49
70,61.47
71,52.51
72,47.53
73,42.59
74,40.33
75,39.35
76,37.79
77,38.06
78,43.12
79,55.15
80,67.57
81,65.04
82,64.43
83,65.27
84,61.35
85,58.4
86,59.09
87,53.54
88,57.33
89,72.42
90,95.33
91,93.95
92,78.84
93,69.59
94,66.79
95,57.55
96,49.43
97,38.61
98,37.83
99,35.53
100,36.45
101,34.83
102,38.91
103,50.37
104,60.95
105,55.32
106,54.76
107,54.57
108,52.25
109,50.21
110,48.13
111,47.35
112,48.28
113,55.42
114,111.19
115,77.4
116,69.81
117,69.87
118,67.68
119,49.67
120,48.78
121,44.94
122,40.78
123,41.92
124,40.78
125,39.8
126,41.93
127,54.21
128,65.75
129,59.53
130,62.89
131,63.8
132,62.91
133,55.3
134,59.44
135,54.35
136,55.2
137,67.48
138,117.81
139,83.83
140,79.84
141,74.66
142,66.93
143,55.65
144,47.22
145,44.57
146,42.31
147,41.08
148,37.86
149,38.45
150,44.29
151,54.71
152,65.43
153,62.71
154,65.47
155,67.06
156,66.33
157,64.27
158,63.68
159,58.84
160,61.15
161,70.23
162,113.92
163,90.79
164,77.68
165,71.31
166,64.53
167,55.1
168,45.92
169,47.39
170,42.32
171,41.7
172,40.94
173,40.58
174,41.38
175,45.77
176,48.89
177,46.96
178,64.96
179,64.71
180,62.37
181,57.07
182,52.29
183,49.69
184,49.65
185,67.64
186,114
187,92.49
188,75.26
189,75.12
190,66.64
191,51.83
192,48.73
193,54.88
194,47.79
195,44.53
196,41.93
197,41.64
198,42.04
199,48.33
200,48.69
201,48.23
202,52.55
203,53.18
204,54.56
205,52.85
206,49.43
207,48.19
208,49.88
209,72.96
210,112.66
211,102.38
212,89.89
213,87.4
214,79.55
215,52.32
216,52.27
217,55.82
218,45.83
219,43.53
220,42.91
221,44.48
222,48.95
223,62.79
224,72.68
225,72.59
226,72.54
227,73.76
228,72.44
229,60.39
230,57.57
231,57.93
232,59.42
233,89.15
234,132.05
235,119.71
236,108.58
237,108.37
238,92.02
239,69.22
240,52.15
241,51.08
242,44.18
243,43.2
244,43.36
245,44.3
246,50.47
247,73.26
248,80.75
249,70.67
250,69.75
251,72.32
252,70.75
253,62.43
254,58.31
255,56.9
256,58.43
257,82.47
258,119.84
259,103.76
260,92.1
261,88.7
262,73.56
263,63.49
264,51.73
265,52.25
266,47.94
267,47.78
268,46.72
269,48.35
270,53.13
271,71.32
272,76.88
273,73.23
274,81.62
275,76.99
276,74.45
277,78.24
278,74.43
279,73.77
280,70.74
281,100.43
282,136.27
283,133.03
284,120.94
285,109.65
286,103
287,63.46
288,61.83
289,59.05
290,54.74
291,53.42
292,54.09
293,54.32
294,59.13
295,80.61
296,90.81
297,80.81
298,77.22
299,87.66
300,86.28
301,82.63
302,69.91
303,67.3
304,76.84
305,114.16
306,146.08
307,139.71
308,135.47
309,130.03
310,125.44
311,70.57
312,74.5
313,76.9
314,65.46
315,59.84
316,59.88
317,59.97
318,67.81
319,97.56
320,110.95
321,101.25
322,101.8
323,112.75
324,101.92
325,97.31
326,90.91
327,85.26
328,86.32
329,114.51
330,138.33
331,136.01
332,133.75
333,129.6
334,112.29
335,92.64
336,82.22
337,67.4
338,62.1
339,59.79
340,57.01
341,56.45
342,57.02
343,64.27
344,68.63
345,93.32
346,104.52
347,125.66
348,128.06
349,104.39
350,97.79
351,70.06
352,71.21
353,132.11
354,145.33
355,138.27
356,133.73
357,133.14
358,131.15
359,69.5
360,64.58
361,58.69
362,52.56
363,49.6
364,49.48
365,46.17
366,44.85
367,52.41
368,60.64
369,64.79
370,88.91
371,74.99
372,70.55
373,68.99
374,66.19
375,64.8
376,66.13
377,131.48
378,152.02
379,150.45
380,137.12
381,135.71
382,133.07
383,71.96
384,65
385,67.54
386,56.06
387,60.53
388,54.03
389,55.98
390,61.75
391,82.32
392,92.47
393,86.83
394,100.81
395,99.85
396,114.5
397,91.36
398,84.64
399,75.47
400,82.35
401,131.03
402,164.31
403,150.76
404,145.13
405,135.92
406,131.05
407,77.77
408,63.65
409,66.2
410,64.1
411,52.78
412,52.2
413,50.58
414,69.08
415,77.49
416,110.41
417,84.3
418,119.43
419,132.81
420,132.73
421,132.74
422,129.91
423,105.24
424,126.16
425,138.71
426,146.49
427,139.21
428,131.98
429,131.26
430,110.32
431,62.91
432,52.05
433,47.72
434,45.67
435,42.87
436,42.47
437,42.53
438,45.22
439,66.18
440,70.52
441,75.83
442,78.72
443,96.51
444,75.03
445,88.37
446,67.91
447,66.51
448,68.66
449,107.93
450,135.43
451,136.09
452,130.81
453,131.2
454,128.29
455,61.52
456,52.33
457,57.15
458,50.88
459,46.42
460,46.52
461,47.26
462,52.82
463,70.61
464,85.24
465,79.79
466,80.91
467,78.98
468,73.71
469,71.82
470,68.6
471,66.42
472,69.01
473,89.21
474,124.11
475,106.95
476,96.37
477,92.05
478,80.2
479,62.21
480,63.43
481,67.76
482,61.01
483,55.83
484,55.84
485,55.11
486,65.85
487,86.95
488,109.81
489,101.83
490,106.87
491,108.88
492,107.01
493,95.21
494,89.91
495,80.83
496,87.84
497,107.62
498,135.61
499,129.79
500,129.56
501,126.25
502,102.55
503,80.57
504,75.02
505,100.29
506,83.71
507,74.05
508,72.91
509,74.15
510,85.04
511,95.94
512,109.79
513,128.61
514,143.36
515,156.83
516,142.26
517,136.11
518,129.91
519,129.91
520,130.08
521,143.63
522,189.56
523,192.87
524,167.38
525,152.43
526,135.85
527,128.43
528,127.95
529,128.64
530,118.27
531,110.99
532,108.15
533,112.99
534,118.86
535,112.14
536,110.82
537,129.93
538,145.67
539,141.79
540,140.22
541,139.99
542,134.52
543,129.87
544,136.09
545,153.87
546,224.81
547,205.09
548,178.29
549,169.44
550,153.51
551,138.74
552,152.39
553,139.36
554,137.99
555,134.58
556,132.82
557,134.52
558,137.6
559,161.34
560,186.16
561,189.13
562,191.08
563,178.44
564,165.42
565,145.42
566,139.32
567,133.54
568,140.04
569,185.61
570,260.34
571,249.02
572,225.93
573,203.61
574,155.46
575,133.57
576,138.05
577,139.83
578,131
579,129.09
580,126.47
581,128.5
582,132.74
583,154.48
584,170.97
585,166.76
586,170.6
587,162.59
588,159.87
589,153.73
590,143.82
591,140.58
592,147.1
593,165.51
594,233.21
595,215.56
596,212.89
597,165.92
598,157.47
599,139.59
600,132.33
601,58.53
602,55.43
603,54.47
604,54.4
605,55.83
606,60.35
607,88.31
608,103.54
609,94.72
610,92.43
611,83.19
612,75.01
613,71.87
614,70.7
615,66.21
616,68.19
617,89.58
618,127.43
619,120.22
620,99.9
621,88.95
622,78.05
623,69.61
624,62.91
625,56.4
626,50.77
627,49.43
628,48.93
629,50.02
630,55.98
