Time_index,Hourly_USD_per_MWh
4344,43.2
4345,41.42
4346,39.86
4347,39.8
4348,39.77
4349,40.09
4350,41.33
4351,43.67
4352,45.17
4353,59.5
4354,69.42
4355,113.38
4356,119.25
4357,123.96
4358,135.44
4359,140.71
4360,140.69
4361,131.18
4362,114.92
4363,78.54
4364,79.89
4365,80.41
4366,62.66
4367,44.22
4368,41.56
4369,39.73
4370,32.6
4371,29.55
4372,29.08
4373,31.88
4374,39.68
4375,41
4376,42.92
4377,47.96
4378,64.48
4379,74.08
4380,78.89
4381,89.16
4382,98.69
4383,103.46
4384,108.18
4385,98.43
4386,80.08
4387,64.46
4388,66.17
4389,63.27
4390,45.91
4391,42.39
4392,39.77
4393,31.95
4394,28.41
4395,27.93
4396,27.94
4397,30.83
4398,35.04
4399,40.36
4400,42.56
4401,46.37
4402,53.78
4403,63.26
4404,67.76
4405,74.85
4406,81.91
4407,93.17
4408,107.93
4409,87.86
4410,69.42
4411,55.13
4412,53.59
4413,50.04
4414,43.64
4415,41.64
4416,38.47
4417,32.71
4418,29.71
4419,27.39
4420,26.75
4421,26.03
4422,28.6
4423,34.03
4424,39.47
4425,43.56
4426,48.23
4427,54.61
4428,60.25
4429,64.85
4430,65.95
4431,73.22
4432,77.34
4433,72.05
4434,62.27
4435,56.6
4436,55.85
4437,53.32
4438,46.04
4439,41.56
4440,42.55
4441,35.73
4442,31.55
4443,26.94
4444,27.88
4445,30.71
4446,35.15
4447,42.16
4448,44.26
4449,50.06
4450,58.11
4451,98.51
4452,116.28
4453,120.84
4454,128.14
4455,133.25
4456,138.58
4457,122.08
4458,88.63
4459,72.03
4460,61.49
4461,57.67
4462,48.03
4463,43.81
4464,44.28
4465,42.11
4466,33.18
4467,31.65
4468,31.23
4469,28.82
4470,29.65
4471,38.64
4472,44.21
4473,46.05
4474,51.21
4475,66.33
4476,83.52
4477,98.79
4478,122.24
4479,122.9
4480,123.04
4481,118.65
4482,86.96
4483,59.33
4484,54.42
4485,53.26
4486,47.68
4487,45.89
4488,48.73
4489,46.52
4490,41.76
4491,35.95
4492,35.33
4493,32.98
4494,25.41
4495,38.87
4496,46.62
4497,48.93
4498,55.52
4499,80.01
4500,85.81
4501,117.63
4502,120.83
4503,124.21
4504,124.5
4505,125.5
4506,95.83
4507,70.69
4508,63.76
4509,60.98
4510,51.64
