Time_index,Hourly_USD_per_MWh
529,110.42
530,97.09
531,90.27
532,88.56
533,89.76
534,103.7
535,148.96
536,168.57
537,169.33
538,158.45
539,158.24
540,150.65
541,153.48
542,143.77
543,148.45
544,145.17
545,167.42
546,213.47
547,191.69
548,183.1
549,170.78
550,148.91
551,129.7
552,100.19
553,147.82
554,132.49
555,127.12
556,126.62
557,133.51
558,159.42
559,208.43
560,229.41
561,223.74
562,245.08
563,231.93
564,219.23
565,210.6
566,186.85
567,197.35
568,195.54
569,224.38
570,261.69
571,262.71
572,241.57
573,231.12
574,200.96
575,177.56
576,148.91
577,190.53
578,178.66
579,170.44
580,170.32
581,176.46
582,193.52
583,234.65
584,248.29
585,246.71
586,232.9
587,240.07
588,218.39
589,204.62
590,184.13
591,178.31
592,198.71
593,198.5
594,273.35
595,261.1
596,243.62
597,217.02
598,209.8
599,178.06
600,175.21
601,181.34
602,181.79
603,168.4
604,168.11
605,171.02
606,176.33
607,211.78
608,228.4
609,261.5
610,287.69
611,309.16
612,281.32
613,220.69
614,206.4
615,198.73
616,211.99
617,222
618,297.22
619,285.93
620,269.11
621,274.74
622,243.7
623,191.4
624,174.63
625,163.18
626,157.02
627,142.62
628,135.63
629,131
630,151.51
631,155.86
632,162.61
633,168.58
634,186.48
635,193.34
636,183.57
637,175.67
638,166.96
639,164.21
640,165.13
641,182.27
642,241.98
643,241.56
644,201
645,198.35
646,184.73
647,166.16
648,151.78
649,100.09
650,87.27
651,85.25
652,81.93
653,85.04
654,95.47
655,121.33
656,143.07
657,142.91
658,158.83
659,161.64
660,161.55
661,159.3
662,161.59
663,160.81
664,161.76
665,163.45
666,246.84
667,197.42
668,193.61
669,163.36
670,151.53
671,114.27
672,101.01
673,61.42
674,57.8
675,52.96
676,52.54
677,52.23
678,57.22
679,72.69
680,88.14
681,89.8
682,102.01
683,81.09
684,81.04
685,78.79
686,77.71
687,76.91
688,78.83
689,81.7
690,119.84
691,107.41
692,92.19
693,81.37
694,76.79
695,73.42
696,55.95
697,44.74
698,41.62
699,40.74
700,40.03
701,40.74
702,41.7
703,47.56
704,58.74
705,57.78
706,60.1
707,56.7
708,56.76
709,52.9
710,50.65
711,49.92
712,50.6
713,66.98
714,83.77
715,65.83
716,60.18
717,51.07
718,49.5
719,45.37
720,41.99
721,37.3
722,31.67
723,31.41
724,30.81
725,32.83
726,34.83
727,43.1
728,46.42
729,45.88
730,46.21
731,47.71
732,48.16
733,47.55
734,45.93
735,46.08
736,46.19
737,52.55
738,68.34
739,61.07
740,55.82
741,51.92
742,50.73
743,47.32
744,37.32
745,81.06
746,70.08
747,57.66
748,57.3
749,57.66
750,70.16
751,86.24
752,98.63
753,98.48
754,99.73
755,98.77
756,93.27
757,92.69
758,91.73
759,90.76
760,91.69
761,98.95
762,142.7
763,120.94
764,107.38
765,98.28
766,95.04
767,89.06
768,82.51
769,135.49
770,116.76
771,99.86
772,96.65
773,96.28
774,114.15
775,139.85
776,154.53
777,164.61
778,186.41
779,215.54
780,197.9
781,190.68
782,168.65
783,170.95
784,186.05
785,234.07
786,232.43
787,215.87
788,192.28
789,199.9
790,169.19
791,163.85
792,139.04
793,149.62
794,135.39
795,115.44
796,112.73
797,114.95
798,129.62
799,142.77
800,142.25
801,156.06
802,167.73
803,176.66
804,189.95
805,174.93
806,166.27
807,164.51
808,166.23
809,170.83
810,238.83
811,236.19
812,202.48
813,185.39
814,166.52
815,159.93
816,140.24
817,102.87
818,97.35
819,92.03
820,93.16
821,94.84
822,109.27
823,137.44
824,161.15
825,164.58
826,167.95
827,170.68
828,167.92
829,162.57
830,160.64
831,154.97
832,155.78
833,166.18
834,210.83
835,210.62
836,191.41
837,174.22
838,166.3
839,149.33
840,128.15
841,138.24
842,96.97
843,84.69
844,91.18
845,114.97
846,133.87
847,149.09
848,170.19
849,170.11
850,174.26
851,188.64
852,177.42
853,169.39
854,166.14
855,162.74
856,164.31
857,176.82
858,227.78
859,227.12
860,219.78
861,211.93
862,174.45
863,174.73
864,149.75
865,94.88
866,69.7
867,62.3
868,63.21
869,70.04
870,89.65
871,125.89
872,142.2
873,142.27
874,142.07
875,142.04
876,139.82
877,130.23
878,126.73
879,125.93
880,126.76
881,138.82
882,170.44
883,170.35
884,163.93
885,172.1
886,143.67
887,122.47
888,104.39
889,102.83
890,91.05
891,81
892,78.61
893,85.16
894,105.46
895,131.46
896,137.85
897,144.66
898,143.49
899,138.62
900,132.19
901,125.52
902,121.62
903,120.48
904,118.93
905,131.75
906,165.16
907,173.96
908,164.39
909,143.36
910,130.29
911,119.11
912,112.06
913,114.74
914,109.44
915,96.06
916,95.14
917,99.1
918,112.07
919,129.05
920,132.92
921,134.96
922,142.19
923,150.23
924,149.64
925,143.99
926,141.15
927,139.51
928,140.69
929,154.69
930,205.4
931,196.98
932,178.23
933,157.88
934,143.96
935,132.6
936,111.85
937,167.19
938,134.67
939,119.5
940,110.76
941,118.7
942,128.83
943,155.97
944,174.06
945,197.95
946,176.42
947,192.71
948,192.02
949,179.57
950,176.14
951,176.12
952,176.13
953,184.47
954,213.69
955,218.95
956,198.9
957,199.74
958,195.57
959,178.94
960,171.3
961,121.14
962,90.75
963,90.74
964,81.58
965,78.38
