Time_index,Hourly_USD_per_MWh
1,64.59
2,50.02
3,50.28
4,48.1
5,49.34
6,49.22
7,54.09
8,64.2
9,76.9
10,84.66
11,85.99
12,86.25
13,83.17
14,80.38
15,78.43
16,78.64
17,104.63
18,125.61
19,121.95
20,109.92
21,107.67
22,104.13
23,81.13
24,74.77
25,88.12
26,73.99
27,64.99
28,62.61
29,67.04
30,78.68
31,98.66
32,117.66
33,123.35
34,132.01
35,147.7
36,126.24
37,121.53
38,115.79
39,110.58
40,114.12
41,164.38
42,199.99
43,203.51
44,188.21
45,187.37
46,164.35
47,120.28
48,101.01
49,89.6
50,75.27
51,65.93
52,65.54
53,67.61
54,85.25
55,121.91
56,140.47
57,138.4
58,143.48
59,148.55
60,145.91
61,143.47
62,143.42
63,143.31
64,143.33
65,161.92
66,190.26
67,185.3
68,177.9
69,165.39
70,154.56
71,139.48
72,93.7
73,57.93
74,48.13
75,45.27
76,45.15
77,45.26
78,51.61
79,83.8
80,88.58
81,87.07
82,92
83,90.59
84,87.21
85,82.6
86,81.6
87,77.22
88,80.73
89,99
90,132.09
91,103.58
92,101.31
93,96.9
94,87.58
95,82.87
96,57.51
97,50.17
98,44.53
99,42.03
100,39.4
101,40.58
102,43
103,44.84
104,52.19
105,58.16
106,62.79
107,63.65
108,61.2
109,57.59
110,53.92
111,52.48
112,52.85
113,63.71
114,84.94
115,74.32
116,70.63
117,65.18
118,61.95
119,55.77
120,51.38
121,40.94
122,38.04
123,35.33
124,34.62
125,35.16
126,35.31
127,37.43
128,37.79
129,41.02
130,45.11
131,49.19
132,49.62
133,53.81
134,53.1
135,52.66
136,52.7
137,59.06
138,76.48
139,71.37
140,60.3
141,57.17
142,53.97
143,50.42
144,41
145,37.04
146,34.66
147,34.27
148,36.28
149,36.59
150,39.17
151,48.18
152,54.23
153,53.25
154,55.67
155,56.16
156,54.08
157,51.71
158,50.28
159,49.09
160,50.16
161,58.84
162,78.28
163,75.14
164,65.82
165,62.6
166,55.86
167,51.04
