datetime_beginning_utc,datetime_beginning_ept,Hourly_USD_per_MWh
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,20.385833
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,19.114167
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,17.510000
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,17.768333
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,17.273333
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,17.574167
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,17.854167
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,17.556667
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,16.199167
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,15.350000
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,16.703333
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,16.233333
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,14.850000
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,14.023333
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,13.895833
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,13.655833
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,15.170000
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,18.310000
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,17.885000
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,19.078333
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,19.346667
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,18.805000
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,17.368333
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,17.158333
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,17.325833
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,16.460833
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,17.078333
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,15.958333
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,16.288333
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,18.582500
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,20.990833
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,36.677500
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,23.848333
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,20.209167
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,20.684167
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,20.022500
