filename,df,degradationpen,gamma,eff,flag,greedymax,greedymin,greedydeg,epochs,C
winter1.csv,./data/Prices2013_winterweek.csv,20000,0.999,0.9,10,0.9,0.001,3,5000,100
summer1.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,10,0.9,0.001,3,5000,100
effix_summer1.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,10,0.9,0.001,3,3000,100
effix_summer2.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,10,0.9,0.001,3,3000,100
invalid_summer1.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,0,0.9,0.001,3,10000,1000
invalid_summer1_newreward.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,0,0.9,0.001,3,10000,1000
3action_summer1.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,10,0.9,0.001,3,10000,1000
summer3.csv,./data/Prices2013_summertrain.csv,20000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter3.csv,./data/Prices2013_wintertrain.csv,20000,0.999,0.9,10,0.9,0.001,3,10000,1000
summer4.csv,./data/Prices2013_summerweek.csv,20000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter5.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.9,0.001,3,3000,100
winter6.csv,./data/Prices2013_winterweek.csv,80000,0.999,0.9,10,0.9,0.001,3,3000,100
winter7.csv,./data/Prices2013_winterweek.csv,0,0.999,0.9,10,0.9,0.001,3,3000,100
workoff_winter1.csv,./data/Prices2013_winterweek.csv,100000,0.999,0.9,10,0.5,0.001,3,3000,100
workoff2_winter1.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.5,0.001,3,3000,100
workoff3_winter1.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.9,0.001,3,3000,100
workoff4_winter1.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.1,0.001,3,3000,100
workoff5_winter1.csv,./data/Prices2013_winterweek.csv,25000,0.9999,0.9,10,0.1,0.001,3,3000,100
workoff6_winter1.csv,./data/Prices2013_winterweek.csv,25000,0.9999,0.9,10,0.1,0.00025,3,3000,100
winter1_retry.csv,./data/Prices2013_winterweek.csv,20000,0.999,0.9,10,0.9,0.001,3,3000,100
winter1_retry2.csv,./data/Prices2013_winterweek.csv,20000,0.999,0.9,10,0.9,0.001,3,5000,100
winter9.csv,./data/Prices2013_winterweek.csv,10000,0.999,0.9,10,0.9,0.001,3,5000,100
winter_newdegenv_1.csv,./data/Prices2013_winterweek.csv,10000,0.999,0.9,10,0.9,0.001,3,5000,100
winter_newdegenv_2.csv,./data/Prices2013_winterweek.csv,20000,0.999,0.9,10,0.9,0.001,3,5000,100
winter_newdegenv_3.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.9,0.001,3,5000,100
winter_reset_1.csv,./data/Prices2013_winterweek.csv,20000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_2.csv,./data/Prices2013_winterweek.csv,40000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_3.csv,./data/Prices2013_winterweek.csv,10000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_4.csv,./data/Prices2013_winterweek.csv,0,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_6_newenv.csv,./data/Prices2013_winterweek.csv,10000,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_5_newenv.csv,./data/Prices2013_winterweek.csv,0,0.999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_7_newenv.csv,./data/Prices2013_winterweek.csv,0,0.999,0.9,10,0.9,0.001,3,5000,1000
winter_reset_8_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,5000,1000
winter_reset_10_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,3000,100
winter_reset_9_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,3000,100
winter_reset_11_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.001,0.001,3,5000 (workoff from reset_8 so 10000),1000
winter_reset_12_newenv.csv,./data/Prices2013_winterweek.csv,10000,0.9999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_13_newenv.csv,./data/Prices2013_winterweek.csv,20000,0.9999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_14_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_15_newenv.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,5,0.9,0.001,3,10000,1000
summer_reset_1.csv,./data/Prices2013_summerweek.csv,0,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_2.csv,./data/Prices2013_summerweek.csv,10000,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_3.csv,./data/Prices2013_summerweek.csv,20000,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_1_newenv.csv,./data/Prices2013_summerweek.csv,0,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_2_newenv.csv,./data/Prices2013_summerweek.csv,10000,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_3_newenv.csv,./data/Prices2013_summerweek.csv,20000,0.9999,0.9,10,0.9,0.001,3,10000,1000
summer_reset_1_newenv_epochs.csv,./data/Prices2013_summerweek.csv,0,0.9999,0.9,10,0.9,0.001,3,10000,1000
winter_reset_1_dyn.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,5000,1000
winter_reset_2_dyn.csv,./data/Prices2013_winterweek.csv,20000,0.9999,0.9,10,0.9,0.001,3,5000,1000
winter_reset_1_nodeg.csv,./data/Prices2013_winterweek.csv,0,0.9999,0.9,10,0.9,0.001,3,10000,1000
