filename,df,degradationpen,gamma,eff,flag,greedymax,greedymin,greedydeg,epochs,C
winter3weeks_1.csv,./data/Prices2013_wintertrain.csv,1000000,0.9999,0.9,10,0.8,0.01,5,5000,100
summer3weeks_1.csv,./data/Prices2013_summertrain.csv,1000000,0.9999,0.9,10,0.8,0.01,5,5000,100
summer3weeks_2.csv,./data/Prices2013_summertrain.csv,400000,0.999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_2.csv,./data/Prices2013_wintertrain.csv,400000,0.999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_dyn2.csv,./data/Prices2013_wintertrain.csv,400000,0.999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_3.csv,./data/Prices2013_wintertrain.csv,0,0.999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_4.csv,./data/Prices2013_wintertrain.csv,0,0.9999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_dyn1.csv,./data/Prices2013_wintertrain.csv,1000000,0.9999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_dyn3.csv,./data/Prices2013_wintertrain.csv,0,0.999,0.9,10,0.8,0.01,5,5000,100
winter3weeks_dyn4.csv,./data/Prices2013_wintertrain.csv,0,0.9999,0.9,10,0.8,0.01,5,5000,100
summer3weeks_6.csv,./data/Prices2013_summertrain.csv,100000,0.9999,0.9,10,0.8,0.01,5,5000,500
summer3weeks_7.csv,./data/Prices2013_summertrain.csv,0,0.9999,0.9,10,0.8,0.01,5,5000,500
winter3weeks_6.csv,./data/Prices2013_wintertrain.csv,100000,0.9999,0.9,10,0.8,0.01,5,5000,500
winter3weeks_7.csv,./data/Prices2013_wintertrain.csv,0,0.9999,0.9,10,0.8,0.01,5,5000,500
summer3weeks_8.csv,./data/Prices2013_summertrain.csv,0,0.9999,0.9,0,0.8,0.01,5,5000,500
summer3weeks_9.csv,./data/Prices2013_summertrain.csv,0,0.9999,0.9,5,0.8,0.01,5,5000,500
summer3weeks_10.csv,./data/Prices2013_summertrain.csv,0,0.9999,0.9,10,0.8,0.001,5,10000,1000
winter3weeks_8.csv,./data/Prices2013_wintertrain.csv,0,0.9999,0.9,10,0.8,0.001,5,10000,1000
summer3weeks_newreward.csv,./data/Prices2013_summertrain.csv,100000,0.9999,0.9,10,0.8,0.001,5,10000,1000
winter3weeks_newreward.csv,./data/Prices2013_wintertrain.csv,100000,0.9999,0.9,10,0.8,0.001,5,10000,1000
winterweek_1.csv,./data/Prices2013_winterweek.csv,200000,0.99999,0.9,10,0.8,0.00025,5,10000,1000
winterweek_rewardscaling_0.01.csv,./data/Prices2013_wintertrain.csv,200000,0.99999,0.9,10,0.8,0.00025,5,10000,1000
summer3weeks_actualnewreward.csv,./data/Prices2013_summertrain.csv,400000,0.99999,0.9,10,0.8,0.00025,5,10000,1000
winter3weeks_1_3layers.csv,./data/Prices2013_wintertrain.csv,200000,0.99999,0.9,10,0.8,0.00025,5,10000,1000
winter3weeks_2_3layers.csv,./data/Prices2013_wintertrain.csv,0,0.99999,0.9,10,0.8,0.00025,5,10000,1000
winter3weeks_1_3layers_nonoise.csv,./data/Prices2013_wintertrain.csv,0,0.99999,0.9,10,0.8,0.00025,5,10000,1000
winter3weeks_2_3layers_nonoise.csv,./data/Prices2013_wintertrain.csv,200000,0.99999,0.9,10,0.8,0.00025,5,10000,1000
summerweek.csv,./data/Prices2013_summerweek.csv,0,0.95,0.9,10,0.8,0.00025,5,5000,1000
summerweek2.csv,./data/Prices2013_summerweek.csv,40000,0.95,0.9,10,0.8,0.00025,5,5000,1000
summer3weeks1.csv,./data/Prices2013_summertrain.csv,40000,0.95,0.9,10,0.8,0.00025,5,3000,100
workoff_summerweek2.csv,./data/Prices2013_summerweek.csv,100000,0.999,0.9,10,0.8,0.00025,5,5000,100
workoff2_summerweek2.csv,./data/Prices2013_summerweek.csv,400000,0.999,0.9,10,0.8,0.00025,5,5000,100
summerweek3.csv,./data/Prices2013_summerweek.csv,40000,0.999,0.9,10,0.8,0.00025,5,5000,100
summerweek4.csv,./data/Prices2013_summerweek.csv,100000,0.999,0.9,10,0.8,0.00025,5,5000,100
summerweek5.csv,./data/Prices2013_summerweek.csv,100,0.999,0.9,10,0.8,0.00025,5,5000,100
summerweek6.csv,./data/Prices2013_summerweek.csv,1000,0.999,0.9,20,0.8,0.00025,5,5000,100
summerweek7.csv,./data/Prices2013_summerweek.csv,0,0.999,0.9,20,0.8,0.00025,5,5000,100
summerweek8.csv,./data/Prices2013_summerweek.csv,0,0.999,0.9,10,0.8,0.001,5,5000,100
