NO DEGRADATION,,DEGRADATION,,
SOC,power,degradation soc,degradation power,Price
0,0,0,0,50.02
0,0,0,0,50.28
0,0,0,0,48.1
0,0.45,0,0,49.34
0.45,0.45,0,0,49.22
0.9,0.1,0,0,54.09
1,-0.45,0,0,64.2
0.55,-0.45,0,0,76.9
0.1,-0.1,0,0,84.66
0,0,0,0,85.99
0,0,0,0,86.25
0,0,0,0,83.17
0,0.225,0,0,80.38
0.225,0.45,0,0,78.43
0.675,0.225,0,0,78.64
0.9,-0.45,0.5,-0.5,104.63
0.45,-0.45,0.041017113,0.5,125.61
0,0,0.041017113,0,121.95
0,0,0.041017113,0,109.92
0,0,0.041017113,0,107.67
0,0,0.041017113,0,104.13
0,0,0.041017113,0,81.13
0,0,0.00351025,0.037506862,74.77
0,0,0.00351025,0,88.12
0,0,0.00351025,0,73.99
0,0,0.00351025,0,64.99
0,0.45,0.00351025,0,62.61
0.45,0.45,0.00351025,0,67.04
0.9,0.1,0.50351025,-0.5,78.68
1,-0.45,0.75351025,-0.208982887,98.66
0.55,-0.45,0.25351025,0.515394176,117.66
0.1,-0.1,0.019262045,0.276926924,123.35
0,0,0.019262045,0,132.01
0,0,0.001648449,0.017613597,147.7
0,0,0.001648449,0,126.24
0,0,0.001648449,0,121.53
0,0,0.001648449,0,115.79
0,0.45,0.000141074,0.001507374,110.58
0.45,0.45,0.000141074,0,114.12
0.9,-0.45,0.500141074,-0.5,164.38
0.45,-0.45,0.041030208,0.500127979,199.99
0,0,0.003511371,0.07854783,203.51
0,0,0.000300504,0.009933002,188.21
0,0,2.57E-05,0.001124854,187.37
0,0,2.57E-05,0,164.35
0,0,2.57E-05,0,120.28
0,0,2.57E-05,0,101.01
0,0,2.57E-05,0,89.6
0,0,2.57E-05,0,75.27
0,0,2.57E-05,0,65.93
0,0.45,2.57E-05,0,65.54
0.45,0.45,2.57E-05,0,67.61
0.9,0.1,0.500025717,-0.5,85.25
1,-0.45,0.750025717,-0.208982887,121.91
0.55,-0.45,0.250025717,0.515394176,140.47
0.1,-0.1,0.018959361,0.273745075,138.4
0,0,0.001622545,0.038356559,143.48
0,0,0.001622545,0,148.55
0,0,0.001622545,0,145.91
0,0,0.001622545,0,143.47
0,0,0.001622545,0,143.42
0,0,0.001622545,0,143.31
0,0.45,0.001622545,0,143.33
0.45,0,0.001622545,0,161.92
0.45,-0.45,0.001622545,0,190.26
0,0,0.001622545,0,185.3
0,0.225,0.000138858,0.001483687,177.9
0.225,-0.225,1.19E-05,0.000253948,165.39
0,0,1.19E-05,0,154.56
0,0,1.19E-05,0,139.48
0,0,1.19E-05,0,93.7
0,0,1.19E-05,0,57.93
0,0,1.19E-05,0,48.13
0,0,1.19E-05,0,45.27
0,0.45,1.19E-05,0,45.15
0.45,0.45,1.19E-05,0,45.26
0.9,0.1,0.500011883,-0.5,51.61
1,-0.45,0.750011883,-0.208982887,83.8
0.55,-0.45,0.250011883,0.515394176,88.58
0.1,-0.1,0.018958159,0.273732443,87.07
0,0,0.018958159,0,92
0,0,0.018958159,0,90.59
0,0,0.018958159,0,87.21
0,0,0.018958159,0,82.6
0,0,0.018958159,0,81.6
0,0.45,0.018958159,0,77.22
0.45,0.225,0.018958159,0,80.73
0.675,-0.225,0.018958159,0,99
0.45,-0.45,0.001622442,0.017335717,132.09
5.55E-17,0,0.000138849,0.002967186,103.58
5.55E-17,-5.55112E-17,0.000138849,0,101.31
0,0,0.000138849,0,96.9
0,0,0.000138849,0,87.58
0,0,0.000138849,0,82.87
0,0,0.000138849,0,57.51
0,0,0.000138849,0,50.17
0,0,0.000138849,0,44.53
0,0,0.000138849,0,42.03
0,0.45,0.000138849,0,39.4
0.45,0.45,0.000138849,0,40.58
0.9,-0.225,0.000138849,0,43
0.675,0.225,0.000138849,0,44.84
0.9,-0.45,0.000138849,0,52.19
0.45,-0.45,0.000138849,0,58.16
0,0,0.000138849,0,62.79
0,0,0.000138849,0,63.65
0,0,0.000138849,0,61.2
0,0,0.000138849,0,57.59
0,0,0.000138849,0,53.92
0,0.45,0.000138849,0,52.48
0.45,0.225,0.000138849,0,52.85
0.675,0,0.000138849,0,63.71
0.675,-0.45,0.000138849,0,84.94
0.225,-0.225,0.000138849,0,74.32
-2.78E-17,2.77556E-17,0.000138849,0,70.63
0,0,0.000138849,0,65.18
0,0,0.000138849,0,61.95
0,0,0.000138849,0,55.77
0,0,0.000138849,0,51.38
0,0,0.000138849,0,40.94
0,0,0.000138849,0,38.04
0,0,0.000138849,0,35.33
0,0,0.000138849,0,34.62
0,0.225,0.000138849,0,35.16
0.225,0.225,0.000138849,0,35.31
0.45,-0.225,0.000138849,0,37.43
0.225,-0.225,0.000138849,0,37.79
0,0,0.000138849,0,41.02
0,0,0.000138849,0,45.11
0,0,0.000138849,0,49.19
0,0,0.000138849,0,49.62
0,0,0.000138849,0,53.81
0,0,0.000138849,0,53.1
0,0.225,0.000138849,0,52.66
0.225,0.45,0.000138849,0,52.7
0.675,0,0.000138849,0,59.06
0.675,-0.45,0.000138849,0,76.48
0.225,-0.225,0.000138849,0,71.37
-2.78E-17,2.77556E-17,0.000138849,0,60.3
0,0,0.000138849,0,57.17
0,0,0.000138849,0,53.97
0,0,0.000138849,0,50.42
