NO DEGRADATION,,DEGRADATION,,
SOC,power,degradation soc,degradation power,Price
0,0,0,0,50.02
0,0,0,0,50.28
0,0,0,0,48.1
0,0.45,0,0,49.34
0.45,0.45,0,0,49.22
0.9,0.1,0,0,54.09
1,-0.45,0.5,-0.5,64.2
0.55,-0.45,0.041017113,0.5,76.9
0.1,-0.1,0.00351025,0.078523975,84.66
0,0,0.000300408,0.009929936,85.99
0,0,0.000300408,0,86.25
0,0,0.000300408,0,83.17
0,0.225,0.000300408,0,80.38
0.225,0.45,0.000300408,0,78.43
0.675,0.225,0.500300408,-0.5,78.64
0.9,-0.45,0.958869277,-0.417551756,104.63
0.45,-0.45,0.458869277,0.53341651,125.61
0,0,0.037280973,0.466243893,121.95
0,0,0.003190511,0.072061188,109.92
0,0,0.003190511,0,107.67
0,0,0.003190511,0,104.13
0,0,0.003190511,0,81.13
0,0,0.003190511,0,74.77
0,0,0.003190511,0,88.12
0,0,0.003190511,0,73.99
0,0,0.003190511,0,64.99
0,0.45,0.003190511,0,62.61
0.45,0.45,0.003190511,0,67.04
0.9,0.1,0.003190511,0,78.68
1,-0.45,0.503190511,-0.5,98.66
0.55,-0.45,0.041340099,0.502867524,117.66
0.1,-0.1,0.003537892,0.079106879,123.35
0,0,0.000302773,0.010005097,132.01
0,0,2.59E-05,0.0011331,147.7
0,0,2.22E-06,0.000120665,126.24
0,0,1.90E-07,1.24E-05,121.53
0,0,1.90E-07,0,115.79
0,0.45,1.90E-07,0,110.58
0.45,0.45,1.90E-07,0,114.12
0.9,-0.45,0.50000019,-0.5,164.38
0.45,-0.45,0.04101713,0.500000172,199.99
0,0,0.003510252,0.078524007,203.51
0,0,0.000300408,0.00992994,188.21
0,0,0.000300408,0,187.37
0,0,0.000300408,0,164.35
0,0,0.000300408,0,120.28
0,0,0.000300408,0,101.01
0,0,0.000300408,0,89.6
0,0,2.57E-05,0.000274699,75.27
0,0,2.57E-05,0,65.93
0,0.45,2.57E-05,0,65.54
0.45,0.45,0.500025709,-0.5,67.61
0.9,0.1,0.958784207,-0.417741385,85.25
1,-0.45,0.996376338,-0.004157886,121.91
0.55,-0.45,0.496376338,0.500355832,140.47
0.1,-0.1,0.04078904,0.496637442,138.4
0,0,0.003490732,0.078111769,143.48
0,0,0.003490732,0,148.55
0,0,0.003490732,0,145.91
0,0,0.003490732,0,143.47
0,0,0.003490732,0,143.42
0,0,0.003490732,0,143.31
0,0.45,0.003490732,0,143.33
0.45,0,0.003490732,0,161.92
0.45,-0.45,0.000298737,0.003191995,190.26
0,0,2.56E-05,0.000546343,185.3
0,0.225,2.19E-06,7.01E-05,177.9
0.225,-0.225,2.19E-06,0,165.39
0,0,2.19E-06,0,154.56
0,0,2.19E-06,0,139.48
0,0,2.19E-06,0,93.7
0,0,2.19E-06,0,57.93
0,0,2.19E-06,0,48.13
0,0,0.500002188,-0.5,45.27
0,0.45,0.500002188,0,45.15
0.45,0.45,0.500002188,0,45.26
0.9,0.1,0.958745694,-0.458743506,51.61
1,-0.45,0.996335335,-0.000320431,83.8
0.55,-0.45,0.496335335,0.500027423,88.58
0.1,-0.1,0.040785205,0.496569788,87.07
0,0,0.003490404,0.078101934,92
0,0,0.003490404,0,90.59
0,0,0.003490404,0,87.21
0,0,0.003490404,0,82.6
0,0,0.003490404,0,81.6
0,0.45,0.003490404,0,77.22
0.45,0.225,0.503490404,-0.5,80.73
0.675,-0.225,0.959050116,-0.4145426,99
0.45,-0.45,0.459050116,0.533135061,132.09
5.55E-17,0,0.037297887,0.466376946,103.58
5.55E-17,-5.55112E-17,0.037297887,0,101.31
0,0,0.037297887,0,96.9
0,0,0.037297887,0,87.58
0,0,0.037297887,0,82.87
0,0,0.037297887,0,57.51
0,0,0.037297887,0,50.17
0,0,0.037297887,0,44.53
0,0,0.037297887,0,42.03
0,0.45,0.037297887,0,39.4
0.45,0.45,0.037297887,0,40.58
0.9,-0.225,0.537297887,-0.5,43
0.675,0.225,0.96218371,-0.383868711,44.84
0.9,-0.45,0.996580684,-0.003880557,52.19
0.45,-0.45,0.496580684,0.500332099,58.16
0,0,0.040808152,0.496820472,62.79
0,0,0.040808152,0,63.65
0,0,0.040808152,0,61.2
