profit,SOCmax,reward_total,soc,power,price
0,0.999998288,0,0,0,50.02
0,0.999996575,0,0,0,50.28
-25.13999939,0.999988117,-53.66344471,0.5,-0.5,48.1
-47.2112255,0.999982228,-100.161572,0.958861264,-0.417844152,49.34
-49.06649957,0.999982198,-103.884,0.99646309,-0.004157967,49.22
-49.2248867,0.999982177,-104.2089384,0.999681032,-0.002862103,54.09
-49.23978164,0.999982177,-104.2388148,0.999956405,-3.04E-05,64.2
-49.2412946,0.999982177,-104.2419002,0.999979972,-2.10E-05,76.9
-10.79129384,0.999982177,-27.34189872,0.499979972,0.500001794,84.66
28.05527742,0.999982177,45.35124378,0.041126091,0.49987116,85.99
31.28906146,0.999982177,46.81881186,0.003519577,0.078722427,86.25
31.28906146,0.999980465,46.81881186,0.003519577,0,83.17
31.28906146,0.999978752,46.81881186,0.003519577,0,80.38
31.28906146,0.99997704,46.81881186,0.003519577,0,78.43
31.54147829,0.99997704,42.32364553,0.000301206,0.003218371,78.64
31.54147829,0.999975328,42.32364553,0.000301206,0,104.63
31.54147829,0.999973615,42.32364553,0.000301206,0,125.61
31.54147829,0.999971903,42.32364553,0.000301206,0,121.95
31.54147829,0.999970191,42.32364553,0.000301206,0,109.92
31.54147829,0.999968478,42.32364553,0.000301206,0,107.67
31.54147829,0.999966766,42.32364553,0.000301206,0,104.13
31.54147829,0.999965054,42.32364553,0.000301206,0,81.13
31.54147829,0.999963341,42.32364553,0.000301206,0,74.77
31.54147829,0.999961629,42.32364553,0.000301206,0,88.12
31.54147829,0.999959917,42.32364553,0.000301206,0,73.99
31.54147829,0.999958204,42.32364553,0.000301206,0,64.99
31.54147829,0.999956492,42.32364553,0.000301206,0,62.61
0.236477983,0.999948034,-23.66980101,0.500301206,-0.5,67.04
-30.50484156,0.999942153,-87.5048376,0.958853102,-0.417534784,78.68
-33.46105716,0.999942123,-93.429148,0.996425746,-0.004157721,98.66
15.86894467,0.999942123,5.23085566,0.496425746,0.500355818,117.66
69.47861744,0.999942123,107.4502012,0.040793661,0.496682227,123.35
74.07988488,0.999942123,111.6527361,0.003491127,0.078120183,132.01
74.07988488,0.99994041,111.6527361,0.003491127,0,147.7
74.07988488,0.999938698,111.6527361,0.003491127,0,126.24
74.07988488,0.999936986,111.6527361,0.003491127,0,121.53
74.07988488,0.999935274,111.6527361,0.003491127,0,115.79
74.07988488,0.999933561,111.6527361,0.003491127,0,110.58
74.07988488,0.999931849,111.6527361,0.003491127,0,114.12
74.07988488,0.999930137,111.6527361,0.003491127,0,164.38
74.07988488,0.999928424,111.6527361,0.003491127,0,199.99
74.71832421,0.999928424,107.9296148,0.000298771,0.003192356,203.51
74.71832421,0.999926712,107.9296148,0.000298771,0,188.21
74.71832421,0.999925,107.9296148,0.000298771,0,187.37
74.71832421,0.999923287,107.9296148,0.000298771,0,164.35
74.76322501,0.999923287,103.0194164,2.56E-05,0.000273202,120.28
74.76322501,0.999921575,103.0194164,2.56E-05,0,101.01
74.76322501,0.999919863,103.0194164,2.56E-05,0,89.6
74.76322501,0.99991815,103.0194164,2.56E-05,0,75.27
37.12822669,0.999909692,24.36597378,0.500025569,-0.5,65.93
37.12822669,0.999907979,24.36597378,0.500025569,0,65.54
7.06073902,0.999900915,-38.59476485,0.958791014,-0.458765445,67.61
40.86573933,0.999900915,29.01523576,0.458791014,0.537271261,85.25
76.80009437,0.999900915,95.88394585,0.037273652,0.466595777,121.91
80.95524664,0.999900915,99.19425039,0.003189885,0.072087407,140.47
81.36498271,0.999900915,95.01372254,0.000272991,0.009086145,138.4
81.36498271,0.999899203,95.01372254,0.000272991,0,143.48
81.40079937,0.999899203,90.08535584,2.34E-05,0.000249628,148.55
81.40397287,0.999899203,85.09170285,2.00E-06,4.27E-05,145.91
81.40397287,0.99989749,85.09170285,2.00E-06,0,143.47
81.40397287,0.999895778,85.09170285,2.00E-06,0,143.42
81.40423508,0.999895778,80.09222727,1.71E-07,1.83E-06,143.31
81.4042575,0.999895778,75.09227212,1.46E-08,3.13E-07,143.33
81.40425942,0.999895778,70.09227596,1.25E-09,4.02E-08,161.92
81.40425961,0.999895778,65.09227633,1.07E-10,4.58E-09,190.26
81.40425963,0.999895778,60.09227637,9.18E-12,4.90E-10,185.3
81.40425963,0.999895778,55.09227637,7.85E-13,5.04E-11,177.9
81.40425963,0.999895778,50.09227637,6.72E-14,5.03E-12,165.39
81.40425963,0.999895778,45.09227637,5.75E-15,4.92E-13,154.56
81.40425963,0.999895778,40.09227637,4.92E-16,4.73E-14,139.48
81.40425963,0.999894066,40.09227637,4.92E-16,0,93.7
81.40425963,0.999892353,40.09227637,4.92E-16,0,57.93
52.43925948,0.999883895,-21.22116986,0.5,-0.5,48.13
30.35881337,0.999878008,-67.73673579,0.95876679,-0.417749678,45.27
28.65698215,0.999877978,-71.15227793,0.996359704,-0.004157892,45.15
28.51172648,0.999877958,-71.45095123,0.999576884,-0.002861347,45.26
28.49926603,0.999877958,-71.47595862,0.999852192,-3.04E-05,51.61
28.49805007,0.999877957,-71.47845012,0.999875753,-2.10E-05,83.8
70.39805159,0.999877957,12.32155294,0.499875753,0.500001793,88.58
92.54305205,0.999877957,56.61155385,0.249875753,0.291017279,87.07
49.0080522,0.999870289,-33.52583296,0.749875753,-0.477479907,92
27.75256689,0.9998685,-76.75259132,0.980913636,-0.192016243,90.59
26.18239737,0.999868479,-79.90125917,0.99824634,-0.00291963,87.21
26.05303737,0.99986847,-80.1634904,0.999729656,-0.001233454,82.6
26.04255259,0.99986847,-80.18452072,0.99985659,-2.14E-05,81.6
26.04166617,0.99986847,-80.18631922,0.999867453,-9.03E-06,77.22
26.04159439,0.99986847,-80.18646323,0.999868383,-1.56E-07,80.73
66.40659607,0.99986847,0.543540123,0.499868383,0.500000013,99
111.8231163,0.99986847,86.37658049,0.041115654,0.499769843,132.09
116.7892999,0.99986847,91.30894774,0.003518684,0.078703407,103.58
117.1225741,0.99986847,86.97549627,0.000301129,0.009953003,101.31
117.1504707,0.99986847,82.03128946,2.58E-05,0.001127138,96.9
117.1527542,0.99986847,77.0358564,2.21E-06,0.000120026,87.58
117.1529308,0.99986847,72.03620965,1.89E-07,1.23E-05,82.87
117.1529308,0.999866757,72.03620965,1.89E-07,0,57.51
117.1529308,0.999865045,72.03620965,1.89E-07,0,50.17
92.06793175,0.999856586,18.48276556,0.500000189,-0.5,44.53
71.64015705,0.9998507,-24.72719344,0.958742054,-0.417724752,42.03
70.06022575,0.999850671,-27.89893568,0.996332616,-0.004157872,39.4
69.93347679,0.99985065,-28.16059498,0.999549595,-0.002861147,40.58
69.92230549,0.99985065,-28.18302409,0.999824886,-3.04E-05,43
69.92129244,0.99985065,-28.18510975,0.999848445,-2.10E-05,44.84
69.92120204,0.99985065,-28.18529118,0.999850461,-2.23E-07,52.19
69.92119303,0.99985065,-28.18530963,0.999850634,-1.53E-07,58.16
69.92119218,0.99985065,-28.18531135,0.999850649,-1.63E-09,62.79
69.9211921,0.99985065,-28.18531151,0.99985065,-1.12E-09,63.65
69.92119209,0.99985065,-28.18531152,0.99985065,-1.19E-11,61.2
69.92119209,0.99985065,-28.18531152,0.99985065,-8.23E-12,57.59
69.92119209,0.99985065,-28.18531152,0.99985065,-8.73E-14,53.92
69.92119209,0.99985065,-28.18531152,0.99985065,-6.02E-14,52.48
69.92119209,0.99985065,-28.18531152,0.99985065,-6.31E-16,52.85
96.34619133,0.99985065,24.66468695,0.49985065,0.5,63.71
125.5723032,0.99985065,78.11691068,0.041113995,0.499753768,84.94
125.5723032,0.999848938,78.11691068,0.041113995,0,74.32
125.5723032,0.999847225,78.11691068,0.041113995,0,70.63
128.22767,0.999847225,78.42764422,0.003518542,0.037595453,65.18
128.4373817,0.999847225,73.84706766,0.000301117,0.006434849,61.95
128.4373817,0.999845513,73.84706766,0.000301117,0,55.77
128.4373817,0.999843801,73.84706766,0.000301117,0,51.38
128.4373817,0.999842088,73.84706766,0.000301117,0,40.94
107.9673824,0.99983363,29.5236231,0.500301117,-0.5,38.04
90.52800964,0.999827751,-7.706422906,0.95874939,-0.41743116,35.33
90.52800964,0.999826039,-7.706422906,0.95874939,0,34.62
89.22763736,0.999825759,-10.4191949,0.996310694,-0.037561303,35.16
89.11462449,0.999825759,-10.64522065,0.999524939,2.56E-07,35.31
89.10491157,0.999825757,-10.66542853,0.999800015,-0.000275054,37.43
89.10403049,0.999825757,-10.66719068,0.999823554,-8.79E-11,37.79
89.10395436,0.999825757,-10.66734866,0.999825569,-2.01E-06,41.02
89.10394729,0.999825757,-10.6673628,0.999825741,1.24E-11,45.11
89.10394663,0.999825757,-10.66736418,0.999825756,-1.48E-08,49.19
89.10394657,0.999825757,-10.6673643,0.999825757,4.67E-15,49.62
89.10394656,0.999825757,-10.66736431,0.999825757,-1.08E-10,53.81
89.10394656,0.999825757,-10.66736431,0.999825757,6.72E-16,53.1
89.10394656,0.999825757,-10.66736431,0.999825757,-7.91E-13,52.66
89.10394656,0.999825757,-10.66736431,0.999825757,-3.74E-18,52.7
102.2789468,0.999825757,15.68263607,0.749825757,0.25,59.06
102.2789468,0.999824045,15.68263607,0.749825757,0,76.48
140.5189484,0.999824045,92.16263943,0.249825757,0.5,71.37
156.9971234,0.999824045,120.1189894,0.018941992,0.271900878,60.3
158.0415757,0.999824045,117.2078939,0.001621058,0.03818048,57.17
158.1263204,0.999824045,112.3773833,0.00013873,0.004749819,53.97
158.1263204,0.999822332,112.3773833,0.00013873,0,50.42
